FIELD_1,ID,TIMESTAMPT,DAILY_MEAN,X.COORD,Y.COORD,WUEST_ASPE,WUEST_MCUR,WUEST_CARE,WUEST_PLCU,WUEST_PRCU,WUEST_SLOP,WUEST_MOD.
25745,18,2011-01-03,42.40907216,2523739.51000000,5596506.17000000,4.98035955,0.00761963,861.29724121,0.00408698,0.00353265,0.07865124,861.29724121
26994,19,2011-01-03,48.35082474,2523799.95000000,5596505.11000000,5.23552227,-0.00250244,670.09649658,-0.00068878,-0.00181366,0.06862424,670.09649658
28364,20,2011-01-03,48.53691429,2523860.43000000,5596506.76000000,5.45946789,-0.00290527,1281.82653809,-0.00247888,-0.00042639,0.06726625,1281.82653809
29601,21,2011-01-03,50.63826923,2523861.15000000,5596358.46000000,3.99296975,-0.01055908,1988.13854980,-0.00819038,-0.00236870,0.07585312,3248.90429688
31158,22,2011-01-03,47.58020619,2523379.99000000,5596444.54000000,1.85133314,-0.00132324,1246.01049805,-0.00330545,0.00198221,0.07853727,1155.95019531
32618,23,2011-01-03,34.10440000,2523441.18000000,5596447.49000000,1.49728441,-0.00599121,8309.25000000,-0.00586371,-0.00012751,0.09420767,8324.33593750
34181,24,2011-01-03,34.29827835,2523497.86000000,5596445.55000000,0.03426884,-0.00764648,977.53393555,-0.00325138,-0.00439510,0.11088189,1998.75683594
35165,25,2011-01-03,34.95252525,2523561.67000000,5596446.13000000,0.14098349,0.00413818,335.60119629,0.00277411,0.00136407,0.10636317,335.60119629
36725,26,2011-01-03,43.75568421,2523619.16000000,5596446.63000000,0.85527939,0.00487549,576.00897217,0.00295407,0.00192142,0.09863654,576.00897217
38244,27,2011-01-03,47.87500000,2523678.77000000,5596444.50000000,0.34548336,-0.00562988,3541.64770508,-0.00291800,-0.00271188,0.05719661,3128.31396484
39755,28,2011-01-03,44.01909804,2523743.65000000,5596449.05000000,4.80128813,0.01357910,483.68218994,0.00263078,0.01094832,0.17093916,483.68218994
41308,29,2011-01-03,48.55134615,2523799.40000000,5596448.26000000,5.27876568,0.00003662,468.18643188,0.00044410,-0.00040748,0.09141471,468.18643188
44346,31,2011-01-03,54.58745098,2523918.74000000,5596446.41000000,5.31748199,0.00365234,417.92221069,0.00233345,0.00131889,0.05975804,467.00650024
45773,32,2011-01-03,53.29621915,2523979.33000000,5596446.89000000,5.46977472,-0.00050537,326.70932007,-0.00028673,-0.00021864,0.01833450,1117.97436523
46887,33,2011-01-03,48.13000000,2523375.29000000,5596385.91000000,0.34716898,0.00214111,580.84094238,-0.00068449,0.00282560,0.09411619,651.05218506
48414,34,2011-01-03,41.79443299,2523439.22000000,5596384.56000000,0.63594818,-0.00581543,1257.40979004,-0.00409243,-0.00172300,0.10403036,1257.40979004
49992,35,2011-01-03,39.44428571,2523501.73000000,5596385.98000000,0.01730581,0.00928467,588.56842041,0.00058739,0.00869728,0.07463427,577.70916748
51451,36,2011-01-03,47.01936170,2523560.93000000,5596387.35000000,0.39716396,0.00325195,296.21139526,0.00198228,0.00126967,0.08998253,296.21139526
53016,37,2011-01-03,33.75061224,2523616.64000000,5596385.73000000,0.67804110,-0.00907715,938.84527588,-0.00285119,-0.00622595,0.07581888,1237.62011719
54598,38,2011-01-03,51.83000000,2523680.29000000,5596385.12000000,0.43985531,-0.00183350,488.63668823,0.00060520,-0.00243869,0.10187577,531.05450439
55947,39,2011-01-03,71.91223810,2523739.56000000,5596387.71000000,5.93694162,-0.01478516,45098.57812500,-0.01174329,-0.00304187,0.06798629,32888.33984375
57501,40,2011-01-03,53.33469388,2523800.66000000,5596385.82000000,4.38834429,-0.00072021,293.79125977,0.00128580,-0.00200601,0.07641245,284.70599365
58994,41,2011-01-03,41.23610000,2523857.02000000,5596385.07000000,4.00311470,0.00228516,318.47616577,0.00232315,-0.00003800,0.04899257,541.39233398
60407,42,2011-01-03,44.78432990,2523919.49000000,5596384.78000000,4.61761904,0.00223633,589.89923096,0.00284620,-0.00060987,0.03816550,646.49401855
61966,43,2011-01-03,50.59797980,2523980.20000000,5596386.53000000,4.94231319,-0.00125732,747.82788086,0.00029066,-0.00154798,0.04520253,924.47924805
63540,44,2011-01-03,44.36588235,2524035.80000000,5596386.21000000,4.46220922,-0.00360107,1230.62365723,-0.00251881,-0.00108226,0.02873733,1752.50598145
65093,45,2011-01-03,52.98310000,2523913.90000000,5596359.63000000,4.04392385,-0.00101318,297.11077881,0.00116981,-0.00218300,0.06446315,1837.81604004
66615,46,2011-01-03,35.96430000,2523561.93000000,5596327.23000000,0.83367985,0.00617432,300.54525757,0.00280080,0.00337351,0.10946210,300.54525757
68205,47,2011-01-03,40.17415842,2523620.93000000,5596327.49000000,0.37342256,-0.00501953,703.18048096,-0.00232770,-0.00269183,0.08729707,703.18048096
69691,48,2011-01-03,50.04386139,2523683.56000000,5596327.95000000,0.70436889,-0.00426025,1818.15295410,-0.00587388,0.00161362,0.09996253,1818.15295410
71206,49,2011-01-03,36.96466019,2523737.08000000,5596324.84000000,5.93782520,-0.01025147,944.08770752,-0.01372784,0.00347638,0.09723026,1309.13403320
72776,50,2011-01-03,67.85299065,2523799.09000000,5596321.83000000,5.68251038,-0.00525879,1655.35620117,-0.00190792,-0.00335087,0.07878714,7331.09667969
74190,51,2011-01-03,54.93180000,2523448.94000000,5596602.51000000,1.51891816,0.00404297,563.84204102,0.00080529,0.00323768,0.06452969,796.42742920
75653,52,2011-01-03,39.63362745,2523495.37000000,5596583.74000000,1.74415946,-0.00280518,911.69720459,-0.00034613,-0.00245905,0.12227394,911.69720459
77092,53,2011-01-03,36.17489796,2523554.73000000,5596609.85000000,1.78691971,0.00348389,690.43237305,0.00175324,0.00173064,0.12419160,690.43237305
78414,54,2011-01-03,48.12584158,2523570.91000000,5596589.58000000,1.65013111,-0.00279785,1114.49804688,-0.00067954,-0.00211831,0.10770972,1140.89013672
81288,56,2011-01-03,64.98480392,2523681.36000000,5596597.88000000,0.00911174,-0.00839111,9759.45996094,-0.00466144,-0.00372967,0.03682569,8901.85351563
82632,57,2011-01-03,62.80495238,2523733.57000000,5596595.07000000,5.39170885,0.00470215,924.60162354,0.00230120,0.00240095,0.09671027,924.60162354
84088,58,2011-01-03,48.66229167,2523781.57000000,5596572.26000000,5.48961449,0.00110107,1139.67724609,0.00231991,-0.00121883,0.09320042,1139.67724609
85567,59,2011-01-03,48.31449474,2523396.00000000,5596519.74000000,1.84626532,0.00079102,628.51464844,-0.00110815,0.00189917,0.06831168,628.51464844
87030,60,2011-01-03,27.36927835,2523484.19000000,5596530.70000000,1.98232186,-0.00276611,1101.86682129,-0.00221862,-0.00054749,0.12843689,1101.86682129
89667,62,2011-01-03,36.70365591,2523563.75000000,5596532.02000000,1.63583779,0.00018311,1518.91625977,-0.00204706,0.00223017,0.08832355,47426.77734375
91068,63,2011-01-03,46.42373737,2523648.06000000,5596564.93000000,0.43535891,-0.00410400,1486.75622559,-0.00243161,-0.00167240,0.04561418,3452.35424805
91933,64,2011-01-03,51.71267327,2523689.13000000,5596505.89000000,0.67709047,-0.01239258,1378.63269043,-0.00331936,-0.00907322,0.06522617,73967.01562500
93358,65,2011-01-03,45.59540000,2523694.54000000,5596556.42000000,4.92886066,-0.00451904,235.16149902,-0.00018710,-0.00433194,0.12083367,4355.74804688
94823,66,2011-01-03,40.37340000,2523747.59000000,5596528.78000000,5.33691216,-0.00303223,691.24151611,-0.00192008,-0.00111214,0.10224250,691.24151611
96242,67,2011-01-03,45.28000000,2523838.81000000,5596522.56000000,5.55651760,0.00105957,1230.31250000,0.00052978,0.00052979,0.08012029,1230.31250000
97728,68,2011-01-03,46.57602041,2523317.88000000,5596446.17000000,1.37958121,0.00899414,206.97424316,0.00485265,0.00414149,0.04412943,477.81719971
99172,69,2011-01-03,44.09931782,2523323.38000000,5596480.73000000,1.49062884,0.00485596,297.01467896,0.00089785,0.00395811,0.05330075,598.40478516
100447,70,2011-01-03,34.80637255,2523435.97000000,5596477.47000000,1.96937752,0.00022217,1301.08239746,-0.00067299,0.00089516,0.11041880,1301.08239746
101881,71,2011-01-03,44.65149533,2523498.75000000,5596487.47000000,1.84622014,0.00619141,1437.97485352,0.00370213,0.00248928,0.11263459,8106.22802734
103325,72,2011-01-03,33.74893617,2523502.79000000,5596494.94000000,1.92690444,0.00060303,1018.34033203,0.00071476,-0.00011174,0.12570062,2809.75097656
104751,73,2011-01-03,44.14288660,2523571.80000000,5596467.10000000,0.22371037,0.00291260,354.61834717,0.00153464,0.00137796,0.09231481,354.61834717
106143,74,2011-01-03,43.95187865,2523634.39000000,5596476.65000000,0.79108495,0.00969238,385.85620117,0.00217880,0.00751358,0.10735387,385.85620117
107594,75,2011-01-03,53.23173469,2523672.76000000,5596463.62000000,0.80369860,-0.00521240,1590.78796387,-0.00234385,-0.00286855,0.07790699,2386.09570313
109064,76,2011-01-03,51.44846939,2523705.75000000,5596508.25000000,4.83751249,-0.01925293,2049.85083008,-0.00258431,-0.01666862,0.07079720,69156.96875000
110536,77,2011-01-03,59.93250000,2523718.60000000,5596447.06000000,5.04730701,-0.02754883,17530.10937500,-0.01000570,-0.01754313,0.11297422,42248.28125000
111911,78,2011-01-03,43.18510417,2523784.37000000,5596497.63000000,5.31973028,-0.00150879,909.10864258,-0.00083790,-0.00067089,0.06608459,909.10864258
113310,79,2011-01-03,55.43378788,2523790.62000000,5596462.00000000,5.12444782,-0.00105713,581.59204102,0.00032149,-0.00137862,0.05462623,581.59204102
114175,80,2011-01-03,41.04635417,2523810.88000000,5596493.99000000,5.34471750,-0.00341064,660.30358887,-0.00291934,-0.00049130,0.09108960,660.30358887
115574,81,2011-01-03,50.10580000,2523859.20000000,5596490.99000000,5.57078123,-0.01219971,987.73126221,-0.00625846,-0.00594124,0.08600994,987.73126221
116999,82,2011-01-03,40.26278351,2523322.56000000,5596401.98000000,1.24718356,0.01239502,193.67051697,0.00701625,0.00537877,0.07139461,459.67541504
118470,83,2011-01-03,41.71533981,2523326.52000000,5596412.59000000,1.58359265,-0.00119141,261.66757202,0.00213285,-0.00332426,0.03671136,571.51855469
119941,84,2011-01-03,37.82576289,2523434.52000000,5596415.28000000,0.44167465,-0.00423828,468.68127441,-0.00182621,-0.00241207,0.11649884,795.06744385
121361,85,2011-01-03,43.55577320,2523458.82000000,5596449.16000000,1.09791362,-0.02197266,15517.42871094,-0.01093547,-0.01103718,0.06875882,11070.77050781
122833,86,2011-01-03,46.83892473,2523553.59000000,5596427.82000000,0.19573595,0.00661377,342.37005615,0.00519713,0.00141664,0.08275426,342.37005615
124127,87,2011-01-03,40.17903226,2523567.58000000,5596438.43000000,0.26359242,0.01929688,188.73217773,0.00973636,0.00956051,0.09152452,188.73217773
125612,88,2011-01-03,44.78490196,2523643.77000000,5596442.89000000,0.52477384,0.00620361,1070.16967773,0.00112379,0.00507983,0.08841906,1070.16967773
127067,89,2011-01-03,54.04041237,2523661.08000000,5596400.14000000,0.69215649,-0.00118164,1664.47717285,-0.00089652,-0.00028512,0.09565932,1664.47717285
128371,90,2011-01-03,63.75404255,2523682.41000000,5596435.78000000,0.34689885,0.00247070,3225.54125977,0.00042258,0.00204813,0.07340097,2955.96313477
129747,91,2011-01-03,63.72860215,2523703.92000000,5596456.17000000,0.67091554,0.00072998,1201.17126465,-0.00079092,0.00152090,0.13766693,40824.71875000
131198,92,2011-01-03,44.77463918,2523742.95000000,5596416.70000000,4.50156736,-0.00687744,489.40243530,-0.00067495,-0.00620249,0.18138446,4978.48144531
132618,93,2011-01-03,46.85678125,2523766.18000000,5596434.64000000,4.90941000,-0.00125732,513.59692383,-0.00064422,-0.00061311,0.07332925,513.59692383
134059,94,2011-01-03,51.53176471,2523839.12000000,5596431.06000000,4.99942446,-0.00163818,495.86099243,0.00058475,-0.00222293,0.06746276,495.86099243
135440,95,2011-01-03,47.97504950,2523877.45000000,5596430.49000000,4.91291237,0.00042725,626.25445557,0.00010215,0.00032510,0.04779704,648.48852539
136884,96,2011-01-03,45.33884211,2523956.23000000,5596427.97000000,4.67769527,-0.00430420,852.75036621,-0.00221148,-0.00209272,0.02902543,712.43359375
138326,97,2011-01-03,54.38489796,2524024.56000000,5596403.90000000,5.29773998,-0.00425049,263.19659424,-0.00025992,-0.00399057,0.03701345,1071.02966309
139757,98,2011-01-03,36.70705263,2524091.17000000,5596379.07000000,3.22200441,-0.01543701,60.71580505,-0.01273507,-0.00270194,0.06767532,712.27264404
141093,99,2011-01-03,39.21808989,2523309.37000000,5596369.71000000,0.83321959,-0.00036621,366.08343506,-0.00230168,0.00193546,0.06365399,385.62954712
142469,101,2011-01-03,38.67170619,2523370.20000000,5596331.05000000,0.66330612,0.00698975,259.18945313,0.00305293,0.00393682,0.04515149,259.18945313
143866,102,2011-01-03,31.12530500,2523439.55000000,5596368.09000000,0.52456313,-0.00673096,1301.52648926,-0.00387931,-0.00285165,0.10360447,1301.52648926
145319,103,2011-01-03,44.63316832,2523455.93000000,5596332.62000000,0.34834149,0.00173340,373.05004883,0.00037469,0.00135871,0.08357769,373.05004883
146700,104,2011-01-03,41.49233010,2523477.10000000,5596371.85000000,0.08140835,0.00593018,362.56347656,0.00315613,0.00277404,0.09912452,362.56347656
148103,105,2011-01-03,39.59476667,2523497.52000000,5596337.66000000,0.04979377,-0.00166504,355.69250488,-0.00341122,0.00174618,0.11246251,355.69250488
149122,106,2011-01-03,48.66737374,2523525.13000000,5596361.23000000,6.22657108,0.00012451,266.38220215,0.00082073,-0.00069621,0.11150089,266.38220215
150527,107,2011-01-03,45.33990741,2523579.37000000,5596356.30000000,0.99740160,0.00130371,350.64376831,0.00143808,-0.00013437,0.10231798,350.64376831
152004,108,2011-01-03,38.05397959,2523648.05000000,5596350.96000000,0.53305334,-0.01666748,495.37539673,-0.00622095,-0.01044653,0.12230586,494.73004150
153439,109,2011-01-03,69.48175824,2523687.49000000,5596357.88000000,0.62950402,-0.00673096,617.68383789,-0.00449448,-0.00223648,0.09607504,748.47930908
154869,111,2011-01-03,21.47683673,2523830.74000000,5596366.61000000,3.81771898,-0.00513672,267.26617432,-0.00276927,-0.00236745,0.09806806,1802.21203613
156108,112,2011-01-03,43.13948265,2523863.63000000,5596350.89000000,4.29814148,0.00093506,3005.30078125,-0.00009609,0.00103115,0.07140682,3870.07104492
156633,113,2011-01-03,45.26458925,2523871.59000000,5596377.24000000,4.07486391,0.00401367,542.48345947,0.00186962,0.00214405,0.06079521,620.59527588
157971,114,2011-01-03,49.54989899,2523904.68000000,5596358.74000000,4.12755442,0.01189453,324.64230347,0.00525238,0.00664215,0.07679745,1601.54248047
159406,115,2011-01-03,54.64789474,2523938.04000000,5596365.32000000,4.00578117,0.00098633,1286.62329102,-0.00128091,0.00226724,0.07203538,1097.05029297
160861,116,2011-01-03,64.06000000,2523978.71000000,5596332.86000000,5.28294706,-0.02216797,1631.48364258,-0.00664152,-0.01552645,0.08731246,2805.18725586
162246,117,2011-01-03,53.69612245,2524012.65000000,5596364.91000000,5.08497667,0.00018066,763.34210205,-0.00209541,0.00227608,0.03705413,899.88427734
163635,118,2011-01-03,62.41175000,2524042.94000000,5596340.99000000,3.85110784,-0.00240479,512.37609863,-0.00159352,-0.00081127,0.02680735,1595.74938965
164961,119,2011-01-03,50.14188119,2524099.38000000,5596365.77000000,3.86525273,-0.00441650,740.29998779,-0.00288544,-0.00153107,0.01937376,739.05493164
166342,120,2011-01-03,45.06000000,2524096.01000000,5596323.28000000,5.37558889,0.00080566,136.22937012,0.00161030,-0.00080464,0.04663172,2047.31994629
167798,121,2011-01-03,31.94007527,2523483.46000000,5596301.56000000,0.32473278,0.00717041,190.76414490,-0.00002851,0.00719892,0.08458165,190.76414490
170424,123,2011-01-03,40.02916667,2523618.31000000,5596263.95000000,0.65082330,0.00438965,228.70535278,0.00282513,0.00156452,0.11535178,228.70535278
171892,124,2011-01-03,36.05031579,2523625.18000000,5596260.84000000,0.72519946,0.00882568,224.21865845,0.00401713,0.00480855,0.10187065,224.21865845
173293,125,2011-01-03,39.59845361,2523633.03000000,5596320.24000000,0.34950414,-0.00139648,523.05310059,-0.00114809,-0.00024840,0.07525325,523.05310059
174727,126,2011-01-03,28.51800000,2523694.61000000,5596256.63000000,0.40487486,-0.00060547,597.77221680,-0.00184803,0.00124256,0.09446953,597.77221680
176187,127,2011-01-03,47.25089109,2523706.79000000,5596295.10000000,0.38396710,-0.00494629,948.02648926,-0.00326499,-0.00168130,0.10085464,966.58117676
179077,129,2011-01-03,40.16117647,2523748.93000000,5596285.73000000,0.30954629,0.00509277,1938.07739258,-0.00009749,0.00519026,0.07702622,1938.07739258
180521,130,2011-01-03,49.90222043,2523806.31000000,5596316.18000000,5.58573198,0.00794434,1149.09082031,0.00153199,0.00641235,0.06036608,5746.67626953
181402,131,2011-01-03,70.75160000,2523799.25000000,5596280.89000000,5.92073441,-0.00096191,3521.58740234,-0.00309215,0.00213023,0.05894125,2849.81250000
182801,132,2011-01-03,58.72380211,2523866.30000000,5596284.03000000,5.65141487,-0.01429932,976.75762939,-0.00606809,-0.00823122,0.06929793,792.43066406
184207,133,2011-01-03,59.28886087,2523866.48000000,5596265.73000000,5.69333124,0.00413574,602.70007324,0.00335633,0.00077941,0.08482430,602.70007324
185642,134,2011-01-03,47.52466019,2523921.57000000,5596244.33000000,5.61987400,0.01941162,227.13038635,0.00468330,0.01472832,0.08875220,283.59445190
187061,135,2011-01-03,43.03618557,2523981.25000000,5596287.32000000,5.38330936,-0.00398682,647.03918457,-0.00443339,0.00044658,0.04338507,695.15789795
188407,136,2011-01-03,53.16049505,2523990.22000000,5596277.53000000,5.47779274,0.00475586,315.03491211,0.00298921,0.00176665,0.05864842,619.54895020
189795,137,2011-01-03,55.61164835,2524049.36582000,5596314.82624000,5.00266743,0.00150391,342.83526611,0.00105000,0.00045391,0.04511363,1026.33715820
191210,138,2011-01-03,39.99041237,2524050.45000000,5596276.18000000,5.40607452,-0.00314941,145.21612549,-0.00167409,-0.00147532,0.06597241,1403.19482422
192646,139,2011-01-03,46.44416667,2524050.69000000,5596306.12000000,4.64062214,-0.00192627,590.73693848,-0.00102171,-0.00090456,0.03786017,1065.95544434
194056,140,2011-01-03,42.22066667,2523657.30000000,5596242.87000000,0.45031148,0.00191162,233.91902161,0.00233346,-0.00042184,0.11149642,233.91902161
195520,141,2011-01-03,37.75948980,2523639.87000000,5596219.89000000,0.54529631,0.00066406,127.96008301,-0.00002860,0.00069266,0.08394060,140.09086609
196250,142,2011-01-03,47.12510638,2523692.92000000,5596212.57000000,0.20531069,0.00229248,212.45800781,-0.00005090,0.00234339,0.06749749,212.45800781
197506,143,2011-01-03,39.57510638,2523705.54000000,5596226.85000000,0.28565031,0.00230469,273.35974121,0.00005192,0.00225277,0.09076715,273.35974121
198934,144,2011-01-03,55.38295918,2523747.84000000,5596204.56000000,0.13420714,0.00030273,394.24453735,-0.00072470,0.00102743,0.08844447,394.24453735
200386,145,2011-01-03,50.53567010,2523795.70000000,5596238.70000000,0.02204164,-0.00311035,845.89862061,-0.00372426,0.00061391,0.10840713,845.89862061
201848,146,2011-01-03,39.29775510,2523816.54000000,5596210.82000000,5.87976694,0.00453857,386.44174194,0.00165766,0.00288091,0.09813245,386.44174194
203275,147,2011-01-03,49.50381443,2523936.36000000,5596237.75000000,5.34970856,0.01737793,175.20887756,0.00570147,0.01167646,0.05464751,248.89485168
204710,148,2011-01-03,45.60972151,2523876.30000000,5596213.96000000,5.97940826,0.00178223,210.38825989,0.00150530,0.00027693,0.05300192,234.83610535
206079,149,2011-01-03,34.26917526,2523913.52000000,5596218.86000000,5.77988338,0.01014160,168.69380188,0.00391467,0.00622693,0.06984018,241.99246216
207478,150,2011-01-03,36.47458333,2523698.50000000,5596260.55000000,0.40706205,-0.00601562,619.22277832,-0.00187595,-0.00413967,0.08766307,619.22277832
