FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_WI.TIF,SLOPE,CURVATURE,PLANCURVAT,PROFILECUR,TAR_CATCHA,ASPECT
2,840,900,50.00000000,6.97394609,0.09991092,0.00360016,0.00134542,0.00225474,125.97435760,1.64068198
2,840,890,47.90000000,7.10373545,0.09328571,0.00359985,0.00145398,0.00214588,135.26760864,1.75351632
2,840,880,48.80000000,7.18808937,0.09179060,0.00280060,0.00140292,0.00139768,145.16999817,1.86849153
2,860,870,41.20000000,7.50026417,0.10514729,0.00079956,0.00061249,0.00018708,222.84304810,1.79048932
2,860,880,47.50000000,7.42049646,0.10777050,0.00120026,0.00090844,0.00029182,210.20617676,1.71923268
2,860,890,46.60000000,7.55874920,0.10886076,0.00039917,0.00076392,-0.00036475,202.10142517,1.64406133
2,860,900,46.30000000,8.12908745,0.10364657,-0.00160034,-0.00003165,-0.00156869,210.92288208,1.59002149
2,860,910,50.30000000,8.85182571,0.09182776,-0.00319977,-0.00092440,-0.00227537,244.17002869,1.61424828
2,860,920,42.70000000,9.47183228,0.07945628,-0.00480011,-0.00229452,-0.00250559,357.51989746,1.77311337
2,860,930,47.00000000,9.98249817,0.06831894,-0.00559967,-0.00370145,-0.00189822,1038.54736328,2.04098606
2,860,940,55.10000000,10.26835060,0.06356966,-0.00560028,-0.00441636,-0.00118392,2633.13500977,2.37840939
2,860,950,53.60000000,10.11107159,0.07196540,-0.00440063,-0.00309639,-0.00130424,2206.83642578,2.72759032
2,860,960,47.80000000,9.43931103,0.09231152,-0.00400024,-0.00228892,-0.00171133,1385.64636230,2.95691085
2,860,970,47.50000000,9.02085209,0.10803980,-0.00320038,-0.00249677,-0.00070361,1043.79174805,3.04926491
2,860,980,48.30000000,8.73920918,0.11477073,-0.00279968,-0.00240412,-0.00039556,830.31311035,3.07213736
2,860,990,50.20000000,8.48306274,0.11859232,-0.00199982,-0.00160705,-0.00039277,661.48889160,3.09121084
2,860,1000,45.90000000,8.27443600,0.11957714,-0.00000031,-0.00080617,0.00080586,540.86480713,3.09163642
2,860,1010,50.40000000,8.18973923,0.10765564,0.00160034,-0.00082507,0.00242541,453.23214722,3.10457158
2,860,1020,51.10000000,8.19180870,0.08579475,0.00119965,-0.00118582,0.00238546,374.18447876,3.15322256
2,860,1030,50.30000000,8.18250847,0.06440881,0.00159973,-0.00060323,0.00220296,288.91348267,3.26595068
2,860,1040,56.80000000,8.62446880,0.04653921,0.00119965,-0.00056450,0.00176414,219.04719543,3.40218234
2,860,1050,47.10000000,9.42428589,0.02862743,0.00080048,-0.00037834,0.00117881,155.36218262,3.57401729
2,860,1060,46.60000000,9.95842075,0.01702815,0.00000061,0.00036239,-0.00036178,107.57592773,4.01014805
2,880,1060,41.70000000,9.36590862,0.02899160,0.00040009,0.00088945,-0.00048937,91.22692871,3.90260005
2,880,1050,46.70000000,9.13251591,0.02883602,0.00079956,0.00033815,0.00046141,141.31091309,3.72958803
2,880,1040,52.50000000,8.44039631,0.04620556,0.00319977,0.00058748,0.00261229,182.02433777,3.51807904
2,880,1030,53.90000000,7.83857584,0.07311551,0.00279968,0.00016881,0.00263087,230.36592102,3.38988328
2,880,1020,49.00000000,7.82869434,0.09621077,0.00160034,-0.00032532,0.00192566,286.71966553,3.31866455
2,880,1010,45.80000000,7.94599247,0.11036966,0.00039948,-0.00084154,0.00124101,362.98077393,3.32305694
2,880,1000,48.10000000,8.11727524,0.11694176,-0.00039978,-0.00090978,0.00051000,453.20706177,3.34733319
2,880,990,48.00000000,8.27996826,0.11928494,-0.00199982,-0.00154355,-0.00045626,542.69097900,3.36026359
2,880,980,47.30000000,8.36867332,0.12061416,0.00000061,-0.00025918,0.00025979,598.86877441,3.33251190
2,880,970,43.40000000,8.49472141,0.11992849,-0.00160004,-0.00096209,-0.00063795,675.90246582,3.29992294
2,880,960,47.70000000,8.70002651,0.11010218,-0.00279968,-0.00104549,-0.00175419,769.90429688,3.24126124
2,880,950,48.10000000,9.12458038,0.09079868,-0.00319977,-0.00112837,-0.00207140,916.95355225,3.17454648
2,880,940,55.20000000,9.79047203,0.07467379,-0.00279999,-0.00161582,-0.00118417,1363.69799805,2.99402332
2,880,930,48.20000000,10.48039627,0.06399096,-0.00240021,-0.00213397,-0.00026623,2801.68750000,2.74080157
2,880,920,51.10000000,10.81716537,0.05974546,-0.00240021,-0.00246386,0.00006365,4496.55664063,2.47468209
2,880,910,47.80000000,10.66794968,0.06014339,-0.00319946,-0.00251052,-0.00068894,2450.96826172,2.19104576
2,880,900,46.20000000,10.21541882,0.06834076,-0.00280029,-0.00168015,-0.00112014,714.40063477,2.00830555
2,880,890,47.10000000,9.76235676,0.07795043,-0.00359955,-0.00141439,-0.00218516,394.09402466,1.89659631
2,880,880,47.90000000,9.29418945,0.08783000,-0.00319977,-0.00106780,-0.00213196,339.61758423,1.83505213
2,880,870,47.60000000,8.77648830,0.09743484,-0.00240021,-0.00085458,-0.00154563,322.24484253,1.80833507
2,900,860,46.50000000,10.87385273,0.06006957,-0.00359985,-0.00279849,-0.00080136,1368.87744141,2.32091665
2,900,870,49.00000000,11.01410484,0.05461714,-0.00279999,-0.00234097,-0.00045901,2648.33789063,2.44685435
2,900,880,51.80000000,11.23842812,0.05264880,-0.00199982,-0.00194555,-0.00005427,4692.22460938,2.55885434
2,900,890,49.10000000,11.39936638,0.04872633,-0.00239990,-0.00214306,-0.00025684,6882.84472656,2.65042329
2,900,900,55.30000000,11.33518505,0.04806692,-0.00239960,-0.00219668,-0.00020291,6056.08056641,2.78037548
2,900,910,53.70000000,10.98277283,0.05094619,-0.00399963,-0.00267681,-0.00132282,3152.28271484,2.94418526
2,900,920,47.30000000,10.22183323,0.06692953,-0.00439911,-0.00245888,-0.00194023,1453.48315430,3.11175561
2,900,930,48.00000000,9.30625534,0.08735024,-0.00440002,-0.00212274,-0.00227729,978.53228760,3.25603080
2,900,940,53.90000000,8.80778408,0.10279664,-0.00320068,-0.00156864,-0.00163205,807.89831543,3.34659123
2,900,950,45.90000000,8.59401608,0.11352702,-0.00159973,-0.00049527,-0.00110447,711.26770020,3.40784121
2,900,960,47.90000000,8.43209267,0.12165825,-0.00159973,-0.00074933,-0.00085040,642.96667480,3.40640974
2,900,970,47.60000000,8.27514076,0.12617280,-0.00079987,-0.00049461,-0.00030526,567.65161133,3.38848090
2,900,980,49.90000000,8.13809681,0.12689182,-0.00000031,-0.00004570,0.00004540,497.46588135,3.37896967
2,900,990,46.00000000,8.05842400,0.12115762,0.00079987,0.00000079,0.00079907,440.87966919,3.39055777
2,900,1000,46.80000000,7.98055553,0.11302379,0.00079987,0.00000085,0.00079901,383.63607788,3.39084411
2,900,1010,47.60000000,7.89740944,0.10321292,0.00040039,-0.00041889,0.00081928,326.21337891,3.40530849
2,900,1020,47.30000000,7.75681305,0.09409256,0.00080048,-0.00038969,0.00119017,261.81863403,3.40970445
2,900,1030,52.20000000,7.70057964,0.07260463,0.00240051,-0.00007974,0.00248025,199.53404236,3.46333647
2,900,1040,47.60000000,7.95515585,0.05056340,0.00199951,0.00045478,0.00154473,149.59577942,3.65828538
2,900,1050,49.00000000,8.47709846,0.04315887,-0.00040039,0.00037727,-0.00077766,107.16276550,3.87785220
2,920,1050,38.10000000,8.32194328,0.04947706,0.00159973,0.00085404,0.00074569,72.29022217,3.89842105
2,920,1040,47.30000000,7.60122776,0.05791865,0.00240021,0.00094783,0.00145238,116.43647003,3.70567894
2,920,1030,50.70000000,7.52574635,0.07321700,0.00240051,0.00014303,0.00225748,168.67362976,3.59304762
2,920,1020,51.40000000,7.66357040,0.09193610,0.00079987,-0.00084309,0.00164295,233.86129761,3.56642795
2,920,1010,50.60000000,7.74676895,0.10842622,0.00120026,-0.00023306,0.00143332,292.84387207,3.54769087
2,920,1000,47.50000000,7.84004593,0.11812699,0.00040070,-0.00035052,0.00075121,346.54333496,3.50332260
2,920,990,49.10000000,7.92593908,0.12427635,-0.00040009,-0.00045703,0.00005695,394.97863770,3.45068288
2,920,980,48.50000000,8.02622414,0.12719266,-0.00080017,-0.00029481,-0.00050536,445.75323486,3.41881633
2,920,970,47.10000000,8.16731167,0.12476778,-0.00080048,-0.00029881,-0.00050167,504.57324219,3.40784621
2,920,960,47.00000000,8.30801678,0.12140426,-0.00119995,-0.00042590,-0.00077405,566.89031982,3.39850330
2,920,950,46.80000000,8.43350601,0.11759456,0.00039978,0.00037225,0.00002753,624.83312988,3.40710044
2,920,940,48.00000000,8.58772087,0.11311490,-0.00039948,-0.00008551,-0.00031397,704.55456543,3.42714787
2,920,930,46.60000000,8.76479149,0.10555452,-0.00200012,-0.00066360,-0.00133652,791.82824707,3.44841814
2,920,920,53.10000000,9.10472965,0.08989602,-0.00199951,-0.00005022,-0.00194929,868.24743652,3.44580555
2,920,910,47.50000000,9.66873074,0.07481371,-0.00239960,-0.00071397,-0.00168563,998.35156250,3.37038803
2,920,900,54.80000000,10.25172520,0.06121706,-0.00280060,-0.00144064,-0.00135996,1247.82128906,3.23963499
2,920,890,49.70000000,10.70061398,0.05295110,-0.00280060,-0.00160034,-0.00120026,1808.96508789,3.14159274
2,920,880,52.50000000,11.00781918,0.04921441,-0.00160034,-0.00125258,-0.00034776,3012.29174805,3.03991270
2,920,870,54.60000000,11.23886299,0.04879721,-0.00039978,-0.00053111,0.00013133,4579.27880859,2.95625043
2,920,860,53.30000000,11.55749702,0.04996888,-0.00039948,0.00002347,-0.00042295,5717.65380859,2.94028068
2,940,890,48.20000000,9.21704483,0.07544105,-0.00040070,0.00038281,-0.00078350,802.91864014,3.59340858
2,940,900,46.90000000,9.17057419,0.07996000,-0.00200012,-0.00085010,-0.00115003,939.12744141,3.64990449
2,940,910,47.10000000,9.09699249,0.09055360,-0.00199982,-0.00120374,-0.00079608,968.09484863,3.58553791
2,940,920,50.90000000,8.94585705,0.09921186,-0.00159943,-0.00094099,-0.00065844,899.60925293,3.53329086
2,940,930,47.70000000,8.78189659,0.10715199,-0.00239960,-0.00126448,-0.00113512,816.05798340,3.49274158
2,940,940,48.90000000,8.58185863,0.11553884,-0.00039948,-0.00017777,-0.00022170,713.59301758,3.46606445
2,940,950,46.90000000,8.42645645,0.12427635,-0.00199982,-0.00090887,-0.00109095,651.54681396,3.47600341
2,940,960,47.60000000,8.27468872,0.12965299,-0.00080017,-0.00050251,-0.00029766,581.34155273,3.50216317
2,940,970,45.30000000,8.12875938,0.13149394,-0.00079956,-0.00070307,-0.00009649,508.78686523,3.49682331
2,940,980,46.80000000,7.95048904,0.13267758,-0.00079956,-0.00083737,0.00003781,429.14434814,3.47755599
2,940,990,47.90000000,7.78093147,0.13049799,-0.00039978,-0.00041903,0.00001925,356.87744141,3.47539163
2,940,1000,47.70000000,7.62980270,0.12308832,0.00200043,0.00054509,0.00145534,291.24499512,3.49657822
2,940,1010,48.30000000,7.59467411,0.10259496,0.00400024,0.00097608,0.00302416,239.75846863,3.56178689
2,940,1020,50.60000000,7.57516861,0.08123371,0.00159973,0.00010080,0.00149893,192.98629761,3.62721944
2,940,1030,46.60000000,7.59012079,0.07071212,0.00040009,0.00019091,0.00020917,136.23600769,3.67475414
2,940,1040,45.20000000,8.10225296,0.06952260,0.00039978,0.00069603,-0.00029625,86.30369568,3.75349712
2,960,1040,27.60000000,8.85889912,0.06900608,0.00119934,-0.00029731,0.00149665,59.21816254,3.68944454
2,960,1030,46.80000000,7.92484617,0.07281635,0.00040070,-0.00006271,0.00046341,117.20269775,3.72199202
2,960,1020,46.70000000,7.48657799,0.07807099,0.00160004,0.00027997,0.00132006,170.76281738,3.70832253
2,960,1010,48.10000000,7.54294395,0.09809672,0.00119995,-0.00068403,0.00188398,219.06217957,3.62796140
2,960,1000,47.60000000,7.55494070,0.12196799,0.00120026,-0.00075700,0.00195725,268.05548096,3.57969570
2,960,990,47.10000000,7.67999649,0.13165717,-0.00080017,-0.00081033,0.00001016,325.17977905,3.57821918
2,960,980,47.20000000,7.81169224,0.13344119,-0.00079987,-0.00058488,-0.00021499,375.45825195,3.57192230
2,960,970,49.20000000,7.95464706,0.13296425,-0.00160034,-0.00120912,-0.00039122,431.76776123,3.58183336
2,960,960,47.40000000,8.03343773,0.13558169,-0.00160004,-0.00112835,-0.00047169,475.41970825,3.58884478
2,960,950,46.00000000,8.09523106,0.13646694,-0.00199982,-0.00112610,-0.00087372,508.69592285,3.58569694
2,980,1000,51.10000000,7.47119093,0.10516124,0.00279999,0.00055715,0.00224283,216.48251343,3.59252954
2,980,1010,48.80000000,7.39537525,0.08789192,0.00120026,0.00023960,0.00096066,172.18522644,3.62553859
2,980,1020,47.60000000,7.40564680,0.07754245,0.00120026,0.00069075,0.00050951,123.60070038,3.69745660
2,980,1030,45.80000000,8.24707413,0.07068446,0.00199921,0.00074935,0.00124985,77.36438751,3.77661753
2,1000,1030,23.80000000,8.51882172,0.05860095,0.00160004,0.00010049,0.00149955,69.83580017,3.65863061
2,1000,1020,47.20000000,7.55473757,0.07188982,0.00159943,0.00047021,0.00112921,122.36256409,3.58660483
2,1000,1010,46.20000000,7.41196632,0.08152572,0.00159973,0.00086824,0.00073150,164.41456604,3.51754737
2,1000,1000,46.90000000,7.49977446,0.09364551,0.00280029,0.00098311,0.00181718,201.65621948,3.46671343
2,1000,990,47.60000000,7.50865221,0.11162359,0.00160034,0.00074858,0.00085176,236.72035217,3.41254163
2,1000,980,46.00000000,7.55401039,0.12331051,0.00200043,0.00112678,0.00087365,270.41915894,3.39440370
2,1000,970,48.30000000,7.64650965,0.12712671,0.00199982,0.00122349,0.00077633,304.77960205,3.38656998
2,1000,960,49.70000000,7.67950678,0.13508780,0.00200012,0.00101874,0.00098138,332.61434937,3.34908772
2,1000,950,46.70000000,7.69607735,0.14353974,0.00080017,0.00060134,0.00019883,357.22824097,3.28740287
2,1000,940,48.50000000,7.78852749,0.13870999,-0.00160004,0.00052760,-0.00212764,379.87762451,3.23484468
2,1000,930,47.90000000,7.95270443,0.11963051,-0.00040009,0.00126023,-0.00166031,392.22372437,3.19986582
2,1000,920,48.40000000,7.99013233,0.11449642,0.00199951,0.00159973,0.00039978,391.75018311,3.14159274
2,1000,910,45.70000000,8.56652069,0.12048042,0.00199982,0.00159213,0.00040769,393.38244629,3.10854626
2,1000,900,45.90000000,9.92314243,0.10956387,-0.00199951,0.00041258,-0.00241209,416.85156250,3.13249993
2,1000,890,46.50000000,11.25942135,0.07835668,-0.00360016,-0.00071018,-0.00288998,506.04348755,3.25647449
2,1000,880,48.10000000,12.28522110,0.05143283,-0.00240021,-0.00141119,-0.00098902,1771.03979492,3.56178689
2,1000,870,60.40000000,12.83267498,0.04311208,-0.00279999,-0.00240608,-0.00039391,21604.96289063,3.94338655
2,1000,860,48.00000000,12.78891087,0.04489214,-0.00320038,-0.00276419,-0.00043619,19134.58203125,4.41878986
2,1000,850,50.20000000,12.08709621,0.06173572,-0.00519989,-0.00256175,-0.00263814,789.30462646,4.87487555
2,1000,840,48.20000000,11.13972759,0.08632430,-0.00359924,-0.00074278,-0.00285647,398.83657837,5.10362530
2,980,840,48.60000000,12.38602257,0.04833541,-0.00319946,-0.00199357,-0.00120589,4302.73876953,4.58803797
2,980,850,57.10000000,12.91127110,0.04022758,-0.00160004,-0.00183997,0.00023993,27370.83984375,4.24874115
2,980,860,55.50000000,12.70308781,0.04456901,-0.00120056,-0.00099401,-0.00020655,11373.18945313,3.97457170
2,980,870,49.90000000,12.13403988,0.05379954,-0.00240021,-0.00135945,-0.00104076,1021.49658203,3.68838048
2,980,880,50.80000000,11.33963776,0.06997833,-0.00200043,-0.00023553,-0.00176489,496.56781006,3.38656878
2,980,890,46.90000000,10.26349735,0.09129300,-0.00119965,0.00070161,-0.00190125,402.30493164,3.25105071
2,980,900,46.10000000,8.97925186,0.10553595,-0.00039978,0.00100105,-0.00140083,376.32196045,3.27414322
2,980,910,46.60000000,7.99994326,0.11115068,0.00199951,0.00192224,0.00007727,363.58529663,3.35832357
2,980,920,47.30000000,7.93676710,0.11027617,0.00160034,0.00185376,-0.00025342,359.38146973,3.43477798
2,980,930,47.60000000,7.87216806,0.11804434,0.00039948,0.00151526,-0.00111578,357.63488770,3.45001197
2,980,940,48.80000000,7.73793507,0.13173576,0.00120026,0.00214397,-0.00094372,344.76098633,3.45618558
2,980,950,50.00000000,7.69123268,0.13620953,0.00280060,0.00224771,0.00055289,339.05145264,3.50719380
2,980,960,47.60000000,7.68707418,0.13314037,0.00319977,0.00209260,0.00110716,330.79644775,3.54845095
2,980,970,49.90000000,7.65894127,0.13173579,0.00040039,0.00067527,-0.00027488,318.57495117,3.56134295
2,980,980,53.00000000,7.55910635,0.13213874,0.00160034,0.00098794,0.00061240,289.09649658,3.56821728
2,980,990,48.90000000,7.49931097,0.12464982,0.00159943,0.00042221,0.00117721,258.49359131,3.56953883
2,960,940,48.60000000,8.18040466,0.12765327,-0.00160034,-0.00031910,-0.00128124,521.74041748,3.60175514
2,960,930,51.10000000,8.26519489,0.11577652,-0.00119995,0.00007023,-0.00127018,520.84698486,3.62446404
2,960,920,48.50000000,8.32208252,0.10432878,-0.00080017,0.00023713,-0.00103730,503.46817017,3.63941574
2,960,910,46.20000000,8.28915119,0.09585632,0.00120026,0.00160022,-0.00039996,452.96343994,3.60524035
2,960,900,47.20000000,8.50794888,0.09129305,0.00040009,0.00139324,-0.00099316,413.50512695,3.52209592
2,960,890,47.70000000,9.30443478,0.08905013,0.00080017,0.00110483,-0.00030466,395.08374023,3.41374421
2,960,880,47.30000000,10.19902611,0.08637017,-0.00039978,0.00023536,-0.00063514,430.62860107,3.38656926
2,960,870,53.60000000,11.14730453,0.06935064,-0.00279999,-0.00127525,-0.00152474,581.84924316,3.54080939
2,960,860,52.00000000,11.94306087,0.05161617,-0.00439941,-0.00271553,-0.00168389,1911.21899414,3.88591957
2,960,850,57.30000000,12.43177795,0.04338972,-0.00200043,-0.00110666,-0.00089377,13208.89160156,4.20753479
2,940,850,55.90000000,12.56661510,0.02784972,-0.00320007,-0.00193510,-0.00126497,3228.51977539,3.50875854
2,940,860,58.80000000,11.68907166,0.04623782,-0.00360046,-0.00125723,-0.00234324,1250.71533203,3.24985361
2,940,870,45.70000000,10.66246796,0.06453984,-0.00279968,-0.00095951,-0.00184018,884.15386963,3.28129601
2,940,880,47.90000000,9.74447250,0.07200042,-0.00159943,-0.00035187,-0.00124755,766.01098633,3.43703127
2,1020,840,47.20000000,9.38311386,0.11229512,0.00039978,0.00086103,-0.00046125,307.19024658,5.21173716
2,1020,850,49.00000000,10.51721382,0.09903792,-0.00280060,-0.00015351,-0.00264709,357.35360718,5.21654987
2,1020,860,46.20000000,11.61901569,0.07260488,-0.00399994,-0.00143994,-0.00256000,519.35650635,5.03414297
2,1020,870,53.50000000,12.47421169,0.05119997,-0.00400055,-0.00307638,-0.00092417,8656.37207031,4.61465645
2,1020,880,60.00000000,12.80586529,0.04353787,-0.00159973,-0.00223235,0.00063262,26126.74609375,4.15622520
2,1020,890,50.30000000,12.40844631,0.04826371,-0.00360016,-0.00267487,-0.00092529,3674.98657227,3.61450124
2,1020,900,48.90000000,11.32973957,0.07884265,-0.00559937,-0.00125333,-0.00434604,620.20666504,3.15425301
2,1020,910,47.50000000,9.87861824,0.11363524,-0.00360016,-0.00061739,-0.00298277,536.18255615,3.00093126
2,1020,920,50.40000000,8.38264751,0.12926370,-0.00040039,-0.00012850,-0.00027189,468.37643433,3.01819491
2,1020,930,49.40000000,7.86710644,0.13834064,-0.00119995,-0.00007280,-0.00112715,409.94433594,3.08410072
2,1020,940,46.60000000,7.67999744,0.15089722,-0.00079926,0.00077777,-0.00157703,367.89599609,3.11528230
2,1020,950,48.90000000,7.57853460,0.15377900,0.00160034,0.00119506,0.00040528,338.20114136,3.13513970
2,1020,960,47.30000000,7.58641624,0.14212273,0.00240021,0.00124186,0.00115835,317.25939941,3.17654562
2,1020,970,47.90000000,7.62086105,0.12785983,0.00320038,0.00169298,0.00150740,298.58944702,3.23507166
2,1020,980,48.30000000,7.61610222,0.11937167,0.00080048,0.00047452,0.00032596,279.58786011,3.26698279
2,1020,990,47.50000000,7.55494833,0.10972601,0.00199921,0.00083674,0.00116246,244.25244141,3.28734350
2,1020,1000,49.20000000,7.50780249,0.09580930,0.00160004,0.00023214,0.00136790,207.27458191,3.35123062
2,1020,1010,48.40000000,7.38329601,0.08278059,0.00080017,0.00020969,0.00059048,161.80679321,3.40995932
2,1020,1020,49.00000000,7.28412580,0.07606984,0.00120056,0.00069125,0.00050931,110.53443146,3.47579026
2,1020,1030,47.30000000,8.00016689,0.06743288,0.00200012,0.00122385,0.00077627,63.28063202,3.61849236
2,1040,1020,50.10000000,7.23262167,0.07554635,0.00040009,0.00002789,0.00037219,112.50010681,3.40899849
2,1040,1010,47.60000000,7.28995466,0.08687814,0.00160034,0.00056592,0.00103442,153.45520020,3.36150146
2,1040,1000,49.70000000,7.30644321,0.10529222,0.00279968,0.00101840,0.00178129,183.79850769,3.25538778
2,1040,990,49.30000000,7.34418488,0.12146478,0.00159943,0.00084572,0.00075371,216.32350159,3.17436862
2,1040,980,49.50000000,7.45879459,0.12835258,0.00120056,0.00075052,0.00045004,254.78926086,3.11059403
2,1040,970,48.10000000,7.51722717,0.14252961,0.00199951,0.00066933,0.00133018,296.81854248,3.05787086
2,1040,960,49.90000000,7.56384230,0.15576273,0.00159943,0.00070878,0.00089064,337.20724487,3.02671576
2,1040,950,47.90000000,7.67984009,0.15793456,-0.00080017,0.00003721,-0.00083738,383.52777100,3.01568198
2,1040,940,48.80000000,7.83880568,0.14875028,-0.00119995,0.00005001,-0.00124997,425.61315918,3.03461790
2,1040,930,53.40000000,8.06831169,0.14075594,-0.00119965,0.00004729,-0.00124694,466.03207397,3.04262638
2,1040,920,46.90000000,9.43039036,0.12356447,-0.00360046,-0.00028518,-0.00331528,519.17700195,3.08520103
2,1040,910,48.20000000,11.05881977,0.08615755,-0.00560059,-0.00118494,-0.00441564,642.50982666,3.23435092
2,1040,900,56.70000000,12.32836533,0.04883837,-0.00520020,-0.00316319,-0.00203700,3473.14575195,3.67850542
2,1040,890,61.50000000,12.79743576,0.03990405,-0.00160034,-0.00178371,0.00018337,24445.00585938,4.32723045
2,1040,880,50.40000000,12.38434219,0.04805696,-0.00279999,-0.00180870,-0.00099129,5164.50341797,4.77480459
2,1040,870,49.00000000,11.37716579,0.07588021,-0.00399994,-0.00080001,-0.00319993,467.21911621,5.17603207
2,1040,860,51.00000000,10.02637100,0.11217254,-0.00279999,0.00019042,-0.00299041,313.31436157,5.32748079
2,1040,850,47.80000000,8.66295433,0.12607959,0.00080048,0.00134785,-0.00054737,272.41326904,5.30695391
2,1040,840,50.40000000,7.72816277,0.11973260,0.00320038,0.00205471,0.00114567,258.90945435,5.18719101
2,1060,870,48.30000000,9.92695713,0.11197986,-0.00279999,0.00013099,-0.00293097,353.14031982,5.47891760
2,1060,880,51.30000000,11.38562202,0.07365032,-0.00399963,-0.00100210,-0.00299753,572.41870117,5.28535461
2,1060,890,60.20000000,12.46081924,0.04550944,-0.00319977,-0.00234838,-0.00085139,7212.49755859,4.86670828
2,1060,900,60.50000000,12.76273823,0.03889032,-0.00320038,-0.00312812,-0.00007226,22342.07031250,4.26023769
2,1060,910,55.90000000,12.02801418,0.05498071,-0.00440063,-0.00216806,-0.00223258,1330.28234863,3.57272434
2,1060,920,47.90000000,10.63231850,0.09385654,-0.00440033,-0.00059056,-0.00380977,637.65637207,3.19472909
2,1060,930,50.30000000,8.96934223,0.12761857,-0.00359955,-0.00107960,-0.00251995,554.91101074,3.07139254
2,1060,940,50.50000000,8.01904583,0.14270699,-0.00040009,0.00009317,-0.00049325,490.81469727,3.04400206
2,1060,950,49.20000000,7.86611176,0.15200105,-0.00119965,-0.00033209,-0.00086755,446.11453247,3.01723576
2,1060,960,51.60000000,7.71484804,0.15806007,-0.00120026,-0.00038090,-0.00081935,397.48214722,3.00945640
2,1060,970,51.70000000,7.60209417,0.15490928,-0.00000031,-0.00050902,0.00050871,348.59503174,3.01962399
2,1060,980,55.10000000,7.51489830,0.14245105,-0.00000092,-0.00050274,0.00050183,295.98019409,3.06482029
2,1060,990,50.40000000,7.36800051,0.13431945,0.00119965,-0.00004199,0.00124163,242.34165955,3.09717917
2,1060,1000,54.00000000,7.23255396,0.11943273,0.00279999,0.00039022,0.00240977,190.60821533,3.13325763
2,1060,1010,50.10000000,7.14344406,0.09781466,0.00280060,0.00046665,0.00233395,146.55345154,3.19257188
2,1060,1020,48.30000000,7.54986095,0.07551982,0.00280060,0.00087382,0.00192678,103.50095367,3.27414227
